SN,Yr_disclosure,Regions,Codes,NoStuR,NoStuE,NoStuE_ODC,StuEmp_CEA,NoCEA,Class_UND30,NoStuE_MJCred,NoStuE_LBCred,NoStueE_Cap,CapFund,TPTC,NoStuE_VolCLPG,No_VolCLPG,LibLit_pStuE,LibSpen_pStuE,NoStuR_pFac,NoStuE_pFac,NoStuE_EntreCL,NoStuE_EntrePG,NoStuE_EntreCLPG,NoFac_Entre,EntreFund_Col,EntreFund_Bus,Startup_Fund,EntreFund_pStuE,StuEStartup_Fund,Rfac_pStuR,Rfac_pStuE,BookPub_pFac,PaperPub_pFac,RLand_pStuR,RLand_pStuE,RFacil_StuR,RFacil_StuE,Tot_FinanSup,No_FinanSup,Tot_GF,No_GF,Tot_RGF,No_RGF,Profit_CIC,TotIncome_CIC,EduSupFee_pStudE,TotEduSup_Fee,TotExt_Schol,NatSchol,TotInt_Schol,Disast_Schol,TotSchol,Schol_pStuE,Cred_pRFac,Cred_pCFac,TotCred,AveGradScore,NoGrad,NoEmpl,NoExcep,Freelancer,Founder,IndFac_H,IndFac_D,IndFac_C,SafeFund_SCI,REnrol_StuR
1,2019,01_Seoul,C001,4976,5830,203,35,62,1058,62875,18528,717,32771832,205,0,0,49.2,43882.3,32.31,37.86,1333,213,1546,3,12000000,140470750,152470750,98622.736,215500000,63.64,54.23,0.038,0.278,30.1,28.8,123,117.8,8831670000,20,7524439000,15,1307231000,5,360077391,9616939356,10580602.6,60711497864,15446481700,15223728000,5800000000,0,21246481700,3763103.4,3652,3326,6978,3.34,2330,1588,198,25,16,9,0,0,21895000,95.7
2,2019,01_Seoul,C002,5887,7026,0,0,0,2396,75904,25153,302,14949921,533,692,25,32.6,32294.2,33.26,39.69,1651,247,1898,2,18197000,40000000,58197000,30662.276,58197000,64.36,54.29,0.148,0.095,26.9,24.3,139.2,125.9,2561142408,20,2128262408,16,432880000,4,474762832,2010803351,9960666.7,71497665396,19126311165,18870808765,7087128702,0,26213439867,3809539.3,4157.5,5126.5,9284,3.41,2936,1454,330,68,21,12,0,0,14727950,95.5
3,2019,01_Seoul,C003,2700,2863,0,0,0,559,33135,8343,269,20968571,188,175,9,52.6,26417.5,32.93,34.91,624,436,1060,2,18200000,65700000,83900000,79150.943,77313300,68.33,64.06,0.057,0.424,45.9,47.4,120.3,124.1,2280861818,6,2070861818,4,210000000,2,48710588,2420314351,9798581.2,28504072851,7461782180,7302300260,2365869600,0,9827651780,3473896,1623,1792,3415,3.41,1286,800,124,7,7,5,0,0,4759000,92.2
4,2019,01_Seoul,C004,1072,1348,36,25,16,413,17405,4944,99,7497160,46,856,15,42.8,37544.3,30.63,38.51,395,168,563,2,938000,19440600,20378600,36196.448,20888600,64.81,52.24,0.449,0.147,172.7,135.9,126.9,99.9,2632937000,6,2554700000,5,78237000,1,0,2764589389,12323260.4,17301857640,3286488388,3174261354,1262481920,0,4548970308,3320416.3,772,882,1654,3.1,504,351,22,0,1,1,0,0,5386940,96.7
5,2019,01_Seoul,C005,696,939,0,0,0,38,12289,4236,0,0,0,241,2,37.6,40081.6,26.77,36.12,59,12,71,0,0,0,0,0,0,74.29,55.32,0.158,0.62,39.7,29.4,107.3,79.6,266228030,7,48000000,3,218228030,4,258780577,320624879,10067597.7,9393068622,1918418870,1835818870,965461290,0,2883880160,3110981.8,332.5,271.5,604,3.21,256,213,1,0,1,0,0,0,3160070,94
6,2019,01_Seoul,C006,5558,6005,662,6,42,1320,71937,15161,533,12228229,646,582,5,29.6,34092.9,32.89,35.53,2105,338,2443,3,126044000,30000000,156044000,63873.926,43561630,63.06,58.48,0.039,0.369,30.6,30.9,111.5,112.7,3337296300,34,1559525000,26,1777771300,8,615397831,3246614186,9494213.8,57629877731,16095700200,15771122800,5943887385,0,22039587585,3754614.6,3869.5,3409,7278.5,3.26,2246,1370,215,29,9,10,0,0,18152500,92.8
7,2019,01_Seoul,C007,3418,3362,0,0,0,1158,41810,7229,439,8971730,171,1817,21,53.6,32638.5,43.27,42.56,918,587,1505,1,46440,0,46440,30.857,45000000,51.97,53.02,0.06,0.395,51.3,59.9,150.4,175.5,156587000,4,144827000,3,11760000,1,61664606,230945448,8006236.3,27533446585,8025517240,7940301540,3203782800,0,11229300040,3363072.8,2045,2407,4452,3.32,1522,978,72,71,12,2,0,0,4287000,91
8,2019,01_Seoul,C008,5826,6249,0,0,0,1083,61778,20866,528,27482073,611,3550,10,38.7,8065.8,38.08,40.84,1999,861,2860,7,288000000,1935000000,2223000000,777272.727,102000000,55.43,51.69,0.01,0.151,57.9,58.9,124.6,126.7,4349386000,29,3737931000,24,611455000,5,358375159,6190243362,10347482.7,62778177789,17086123446,16824328219,4782620713,0,21868744159,3707823.7,3626.1,3287,6913.1,3.33,2302,1324,256,83,14,7,0,0,5483990,93.5
9,2019,01_Seoul,C010,6252,6559,15,0,3,1763,76442,11951,1487,90447813,811,804,19,35.8,27066.7,35.12,36.85,2727,570,3297,3,12500000,141632310,154132310,46749.26,154132310,61.17,58.36,0.096,0.315,49.8,51.3,131,135,8299368316,48,5817829876,25,2481538440,23,1146150120,10273591045,9773805.9,63480869577,15232346190,14830146550,5667172993,0,20899519183,3308980.2,3791.3,4189.8,7981.1,3.28,2516,1551,268,106,9,23,10,3,4549300,92.7
10,2019,02_Inchon,C011,4004,4639,194,28,82,1433,59149,14524,644,114802240,203,1295,6,40.9,28460.4,35.75,41.42,3908,414,4322,0,12364980,0,12364980,2860.939,29848660,62.22,53.85,0.111,0.217,39.3,36.2,115.3,106.3,5368375000,24,4386172000,14,982203000,10,299478016,5416514047,10186106,47609859455,13668688590,13622267630,5034505480,0,18703194070,4080993.7,2587,3334.5,5921.5,3.4,1905,1281,222,21,5,2,1,0,20334730,94
