SN,Yr_disclosure,Regions,Codes,Number_of_StudR,Number_of_StudE,Student_participation_rates_to_ODC,Number_of_student_participating_ODC,Employed_students_to_CEA,Number_of_Departments_participating_ODC,Number_of_CEA,Difference_of_lecture_sizeclass,sizeclass_equal_under30,sizeclass_over30,ShannonD_for_lecture_credits,ShannonD_for_major_credits,Evenness_for_major_credits,Number_of_students_for_major_credits,ShannonD_for_liberal_credits,Evenness_for_liberal_credits,Number_of_students_for_liberal_credits,Number_of_capstone_students,Capstone_funds,TPTC_per_1K,TPTC,Number_of_volunteer_CL/PG_per_1K,Number_of_volunteer_CL/PG_students,Number_of_volunteer_CL/PG,Rates_of_volunteer_CL/PG_students_to_total_students,Library_literature_per_student,Library_spenditure_per_student,Number_of_StudE_per_faculty,Number_of_StudR_per_faculty,Number_of_entrepreneurship_CL_students,Number_of_entrepreneurship_PG_students,Number_of_entrepreneurship_CLPG_totalstudents,Number_of_entrepreneurship_faculty,entrepreneurship_funds(college),entrepreneurship_funds(business),startup_funds,fund_per_ntrepreneurship_student,startup_supporting_fund,Rates_of_faculty(StudE),Rates_of_faculty(StudR),Faculty_book_publications,factulty_paper_publications,Land_rates(StudE),Land_rates(StudR),Building_rates(StudE),Building_rates(StudR),Total_funds_of_financial_supports,Number_of_financial_support_projects,Total_GF,Number_of_GF_projects,Total_LGF,Number_of_LGF_projects,Financial_supports_per_StudE,Income_of_CIC,total_income_of_CIC,Educational_supports_fee_per_StudE,total_educational_support_fee,total_scholarship_outside,national_scholarship,total_scholarship_inside,disaster_scholaship,total_scholarship,scholarship_per_StudE,Registered_faculty_class_credits,Contract_based_faculty_class credits,Registered_faculty_credit_ratio,Contract_based_faculty_credit_ratio,Total_credits,Average_graduated_scores,Average_graduated_scores_100,Graduate_ShannonD,Graduate_evenness,Number_of_graduates,Number_of_employed,Number_of_exceptions_employment,Freelance,Founders,Industry_faculty_hired,Industry_faculty_designated,Industry_faculty_contract,Industry_faculty_career_less5yr,Industry_faculty_career_over5yr,Ind_facult_over_to_under,Industry_faculty_per_1K,Over5yr_ratio_per_1K,Safety_faculty_ratio,Safety_manage_budget_SCI,Safety_manage_budget_spenditure,Employment_rates
1,2019,01_Seoul,C001,4976,5830,3.48,203,35,6,62,1.336,1058,1414,1.872,1.913,0.871,62875,1.832,0.834,18528,717,32771832,35.163,205,0,0,0,0,49.2,43882.3,32.31,37.86,1333,213,1546,3,12000000,140470750,152470750,98622.736,215500000,63.64,54.23,0.038,0.278,30.1,28.8,123,117.8,8831670000,20,7524439000,15,1307231000,5,1514866.209,360077391,9616939356,10580602.6,60711497864,15446481700,15223728000,5800000000,0,21246481700,3763103.4,3652,3326,0.523,0.477,6978,3.34,86.64,1.663,0.757,2330,1588,198,25,16,9,0,0,0.345,0.655,190,1.544,32.59,33.333,21895000,72.023,71.1
2,2019,01_Seoul,C002,5887,7026,0,0,0,0,0,0.576,2396,1381,1.985,1.95,0.887,75904,2.02,0.919,25153,302,14949921,75.861,533,3.558,692,25,0.098,32.6,32294.2,33.26,39.69,1651,247,1898,2,18197000,40000000,58197000,30662.276,58197000,64.36,54.29,0.148,0.095,26.9,24.3,139.2,125.9,2561142408,20,2128262408,16,432880000,4,364523.542,474762832,2010803351,9960666.7,71497665396,19126311165,18870808765,7087128702,0,26213439867,3809539.3,4157.5,5126.5,0.448,0.552,9284,3.41,85.22,1.663,0.757,2936,1454,330,68,21,12,0,0,0.172,0.828,480,1.708,68.318,33.333,14727950,99.325,64.7
3,2019,01_Seoul,C003,2700,2863,0,0,0,0,0,1.315,559,735,1.885,1.853,0.843,33135,1.917,0.873,8343,269,20968571,65.665,188,3.144,175,9,0.061,52.6,26417.5,32.93,34.91,624,436,1060,2,18200000,65700000,83900000,79150.943,77313300,68.33,64.06,0.057,0.424,45.9,47.4,120.3,124.1,2280861818,6,2070861818,4,210000000,2,796668.466,48710588,2420314351,9798581.2,28504072851,7461782180,7302300260,2365869600,0,9827651780,3473896,1623,1792,0.475,0.525,3415,3.41,85.83,1.578,0.759,1286,800,124,7,7,5,0,0,0.346,0.654,188.889,1.746,65.976,50,4759000,71.03,66.6
4,2019,01_Seoul,C004,1072,1348,2.67,36,25,1,16,1.036,413,428,1.953,1.969,0.896,17405,1.937,0.882,4944,99,7497160,34.125,46,11.128,856,15,0.635,42.8,37544.3,30.63,38.51,395,168,563,2,938000,19440600,20378600,36196.448,20888600,64.81,52.24,0.449,0.147,172.7,135.9,126.9,99.9,2632937000,6,2554700000,5,78237000,1,1953217.359,0,2764589389,12323260.4,17301857640,3286488388,3174261354,1262481920,0,4548970308,3320416.3,772,882,0.467,0.533,1654,3.1,81.92,1.631,0.784,504,351,22,0,1,1,0,0,0,1,0,0.742,0,0,5386940,85.369,78.7
5,2019,01_Seoul,C005,696,939,0,0,0,0,0,7.921,38,301,1.841,1.831,0.833,12289,1.851,0.842,4236,0,0,0,0,2.13,241,2,0.257,37.6,40081.6,26.77,36.12,59,12,71,0,0,0,0,0,0,74.29,55.32,0.158,0.62,39.7,29.4,107.3,79.6,266228030,7,48000000,3,218228030,4,283522.929,258780577,320624879,10067597.7,9393068622,1918418870,1835818870,965461290,0,2883880160,3110981.8,332.5,271.5,0.55,0.45,604,3.21,84.07,1.383,0.772,256,213,1,0,1,0,0,0,0,1,0,0,0,0,3160070,44.508,83
6,2019,01_Seoul,C006,5558,6005,11.02,662,6,19,42,1.08,1320,1425,1.957,1.938,0.882,71937,1.977,0.9,15161,533,12228229,107.577,646,0.833,582,5,0.097,29.6,34092.9,32.89,35.53,2105,338,2443,3,126044000,30000000,156044000,63873.926,43561630,63.06,58.48,0.039,0.369,30.6,30.9,111.5,112.7,3337296300,34,1559525000,26,1777771300,8,555752.923,615397831,3246614186,9494213.8,57629877731,16095700200,15771122800,5943887385,0,22039587585,3754614.6,3869.5,3409,0.532,0.468,7278.5,3.26,86.94,1.581,0.812,2246,1370,215,29,9,10,0,0,0.286,0.714,250,1.665,41.632,33.333,18152500,47.77,66
7,2019,01_Seoul,C007,3418,3362,0,0,0,0,0,0.597,1158,691,1.915,1.9,0.865,41810,1.931,0.879,7229,439,8971730,50.863,171,6.246,1817,21,0.54,53.6,32638.5,43.27,42.56,918,587,1505,1,46440,0,46440,30.857,45000000,51.97,53.02,0.06,0.395,51.3,59.9,150.4,175.5,156587000,4,144827000,3,11760000,1,46575.55,61664606,230945448,8006236.3,27533446585,8025517240,7940301540,3203782800,0,11229300040,3363072.8,2045,2407,0.459,0.541,4452,3.32,85.36,1.591,0.765,1522,978,72,71,12,2,0,0,0.462,0.538,116.667,0.595,34.702,0,4287000,36.957,68.5
8,2019,01_Seoul,C008,5826,6249,0,0,0,0,0,1.327,1083,1437,1.957,1.92,0.874,61778,1.994,0.908,20866,528,27482073,97.776,611,1.6,3550,10,0.568,38.7,8065.8,38.08,40.84,1999,861,2860,7,288000000,1935000000,2223000000,777272.727,102000000,55.43,51.69,0.01,0.151,57.9,58.9,124.6,126.7,4349386000,29,3737931000,24,611455000,5,696013.122,358375159,6190243362,10347482.7,62778177789,17086123446,16824328219,4782620713,0,21868744159,3707823.7,3626.1,3287,0.525,0.475,6913.1,3.33,84.24,1.632,0.743,2302,1324,256,83,14,7,0,0,0.308,0.692,225,1.12,36.006,50,5483990,55.025,64.4
9,2019,01_Seoul,C010,6252,6559,0.23,15,0,1,3,0.853,1763,1503,1.925,1.884,0.857,76442,1.966,0.895,11951,1487,90447813,123.647,811,2.897,804,19,0.123,35.8,27066.7,35.12,36.85,2727,570,3297,3,12500000,141632310,154132310,46749.26,154132310,61.17,58.36,0.096,0.315,49.8,51.3,131,135,8299368316,48,5817829876,25,2481538440,23,1265340.496,1146150120,10273591045,9773805.9,63480869577,15232346190,14830146550,5667172993,0,20899519183,3308980.2,3791.3,4189.8,0.475,0.525,7981.1,3.28,84.29,1.638,0.746,2516,1551,268,106,9,23,10,3,0.081,0.919,1133.333,5.489,172.791,50,4549300,100,66.9
10,2019,02_Inchon,C011,4004,4639,4.18,194,28,4,82,0.759,1433,1088,1.786,1.83,0.833,59149,1.742,0.793,14524,644,114802240,43.759,203,1.293,1295,6,0.279,40.9,28460.4,35.75,41.42,3908,414,4322,0,12364980,0,12364980,2860.939,29848660,62.22,53.85,0.111,0.217,39.3,36.2,115.3,106.3,5368375000,24,4386172000,14,982203000,10,1157226.773,299478016,5416514047,10186106,47609859455,13668688590,13622267630,5034505480,0,18703194070,4080993.7,2587,3334.5,0.437,0.563,5921.5,3.4,84.32,1.604,0.771,1905,1281,222,21,5,2,1,0,0.286,0.714,250,0.647,53.891,50,20334730,91.483,71
